True
global_step=126, episodic_return=[-42.324677]
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=219578, episodic_return=[320.62308]
global_step=220578, episodic_return=[1175.1221]
global_step=220815, episodic_return=[442.70572]
global_step=221187, episodic_return=[541.7505]
global_step=221530, episodic_return=[619.09247]
global_step=221593, episodic_return=[95.62392]
global_step=222593, episodic_return=[1590.9568]
global_step=222713, episodic_return=[262.6989]
global_step=222732, episodic_return=[17.448788]
global_step=223732, episodic_return=[1113.7153]
global_step=224732, episodic_return=[1013.7136]
global_step=225732, episodic_return=[840.3665]
global_step=226732, episodic_return=[1279.3486]
global_step=227732, episodic_return=[927.6397]
global_step=228732, episodic_return=[1233.577]
global_step=229732, episodic_return=[1094.5227]
global_step=230062, episodic_return=[579.16016]
global_step=231062, episodic_return=[1045.2828]
global_step=231671, episodic_return=[1046.5376]
global_step=232671, episodic_return=[697.4355]
global_step=233671, episodic_return=[1962.6749]
global_step=234671, episodic_return=[1591.0985]
global_step=234738, episodic_return=[124.70285]
global_step=235361, episodic_return=[1237.2788]
global_step=235845, episodic_return=[845.1423]
global_step=236845, episodic_return=[830.8465]
global_step=237845, episodic_return=[2049.994]
global_step=238845, episodic_return=[909.06146]
global_step=239845, episodic_return=[2029.5446]
global_step=240368, episodic_return=[1092.2191]
global_step=240725, episodic_return=[714.41376]
global_step=241725, episodic_return=[926.4561]
global_step=242245, episodic_return=[1016.5587]
global_step=242334, episodic_return=[145.45654]
global_step=243334, episodic_return=[1874.7157]
global_step=243788, episodic_return=[922.55743]
global_step=244123, episodic_return=[673.22595]
global_step=244438, episodic_return=[652.49084]
global_step=245438, episodic_return=[862.65045]
global_step=246209, episodic_return=[1493.7852]
global_step=246846, episodic_return=[1178.2438]
global_step=247846, episodic_return=[628.0144]
global_step=248192, episodic_return=[599.21136]
global_step=248377, episodic_return=[336.67743]
global_step=248682, episodic_return=[617.3303]
global_step=249682, episodic_return=[826.77637]
global_step=250004, episodic_return=[628.0293]
global_step=251004, episodic_return=[917.96344]
global_step=252004, episodic_return=[1956.6895]
global_step=252700, episodic_return=[1363.7574]
global_step=253700, episodic_return=[2126.4329]
global_step=254700, episodic_return=[1278.5575]
global_step=254773, episodic_return=[132.3471]
global_step=254840, episodic_return=[106.445854]
global_step=255840, episodic_return=[2310.4397]
global_step=256840, episodic_return=[2115.0828]
global_step=257840, episodic_return=[2091.6274]
global_step=258840, episodic_return=[2324.5388]
global_step=258921, episodic_return=[143.00066]
global_step=259921, episodic_return=[641.7703]
global_step=260862, episodic_return=[1871.107]
global_step=261090, episodic_return=[446.6183]
global_step=261437, episodic_return=[751.03674]
global_step=262437, episodic_return=[2137.4011]
global_step=263437, episodic_return=[849.47034]
global_step=263697, episodic_return=[532.2273]
global_step=263732, episodic_return=[65.481766]
global_step=263825, episodic_return=[196.1704]
global_step=264161, episodic_return=[818.74304]
global_step=264319, episodic_return=[350.96857]
global_step=265132, episodic_return=[1707.8744]
global_step=266132, episodic_return=[2174.9075]
global_step=267132, episodic_return=[2220.4673]
global_step=268132, episodic_return=[1998.312]
global_step=268808, episodic_return=[1546.4187]
global_step=269808, episodic_return=[906.3313]
global_step=269980, episodic_return=[354.7962]
global_step=270238, episodic_return=[572.2901]
global_step=271238, episodic_return=[1424.2196]
global_step=272090, episodic_return=[2126.4368]
global_step=273090, episodic_return=[2103.3955]
global_step=274090, episodic_return=[836.25903]
global_step=275090, episodic_return=[2016.764]
global_step=275244, episodic_return=[343.59305]
global_step=276244, episodic_return=[2249.5115]
global_step=277244, episodic_return=[2271.6157]
global_step=278089, episodic_return=[1918.9572]
global_step=278426, episodic_return=[879.28406]
global_step=279426, episodic_return=[2390.46]
global_step=280205, episodic_return=[1785.822]
global_step=281205, episodic_return=[1801.021]
global_step=281618, episodic_return=[1052.4464]
global_step=282618, episodic_return=[755.7752]
global_step=283233, episodic_return=[1479.389]
global_step=284233, episodic_return=[2330.915]
global_step=285233, episodic_return=[2358.8455]
global_step=286233, episodic_return=[741.0018]
global_step=286450, episodic_return=[530.74146]
global_step=286585, episodic_return=[298.57437]
global_step=286847, episodic_return=[652.6852]
global_step=287847, episodic_return=[1091.5232]
global_step=288847, episodic_return=[1221.8649]
global_step=289847, episodic_return=[2357.8184]
global_step=290847, episodic_return=[907.15753]
global_step=291847, episodic_return=[1190.9183]
global_step=292847, episodic_return=[2254.0195]
global_step=293847, episodic_return=[2396.2588]
global_step=294847, episodic_return=[1712.2739]
global_step=295847, episodic_return=[833.02826]
global_step=296847, episodic_return=[1305.9097]
global_step=297847, episodic_return=[879.5935]
global_step=298847, episodic_return=[2467.5544]
global_step=299847, episodic_return=[2471.8113]
global_step=300847, episodic_return=[2424.27]
global_step=301847, episodic_return=[2518.427]
global_step=302847, episodic_return=[2376.1099]
global_step=303138, episodic_return=[860.7866]
global_step=304138, episodic_return=[2392.3179]
global_step=304280, episodic_return=[355.71783]
global_step=304813, episodic_return=[1386.8652]
global_step=304841, episodic_return=[38.23533]
global_step=305841, episodic_return=[2518.841]
global_step=306370, episodic_return=[1233.7965]
global_step=307370, episodic_return=[1810.4453]
global_step=307381, episodic_return=[8.239256]
global_step=307894, episodic_return=[1242.4984]
global_step=308491, episodic_return=[1627.7407]
global_step=309491, episodic_return=[694.7094]
global_step=309914, episodic_return=[1115.007]
global_step=309945, episodic_return=[50.824657]
global_step=310746, episodic_return=[1922.7278]
global_step=310927, episodic_return=[485.33008]
global_step=311172, episodic_return=[675.65594]
global_step=311544, episodic_return=[1012.8586]
global_step=312500, episodic_return=[2322.1128]
global_step=313500, episodic_return=[2669.8337]
global_step=314112, episodic_return=[1519.0543]
global_step=314529, episodic_return=[1073.6985]
