/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=5066, episodic_return=[6.6708484]
global_step=5085, episodic_return=[8.249354]
SPS: 1607
global_step=5126, episodic_return=[17.249462]
global_step=5158, episodic_return=[2.829762]
global_step=5175, episodic_return=[3.0909333]
global_step=5191, episodic_return=[5.14077]
SPS: 1211
global_step=5217, episodic_return=[-1.2617885]
global_step=5249, episodic_return=[5.782071]
global_step=5286, episodic_return=[14.5052595]
SPS: 980
global_step=5315, episodic_return=[1.952526]
global_step=5396, episodic_return=[-1.4454819]
SPS: 829
global_step=5440, episodic_return=[6.405106]
SPS: 722
global_step=5573, episodic_return=[192.73663]
SPS: 642
global_step=5604, episodic_return=[3.7858372]
SPS: 560
global_step=5730, episodic_return=[13.0639105]
SPS: 514
SPS: 476
global_step=5933, episodic_return=[25.687567]
SPS: 444
SPS: 417
SPS: 394
global_step=6252, episodic_return=[147.73868]
SPS: 374
global_step=6390, episodic_return=[239.59828]
SPS: 356
SPS: 341
global_step=6587, episodic_return=[312.64697]
SPS: 327
SPS: 314
global_step=6767, episodic_return=[292.98416]
SPS: 303
SPS: 293
global_step=6963, episodic_return=[316.68408]
SPS: 284
SPS: 275
global_step=7144, episodic_return=[305.1486]
SPS: 268
global_step=7268, episodic_return=[215.20291]
SPS: 261
SPS: 253
global_step=7458, episodic_return=[320.64386]
SPS: 247
SPS: 242
SPS: 237
global_step=7775, episodic_return=[473.06473]
SPS: 232
SPS: 227
global_step=7939, episodic_return=[289.30746]
SPS: 223
SPS: 219
SPS: 215
SPS: 212
global_step=8301, episodic_return=[495.76288]
SPS: 208
global_step=8480, episodic_return=[329.7669]
SPS: 205
SPS: 202
SPS: 199
SPS: 196
SPS: 194
SPS: 191
SPS: 189
SPS: 187
SPS: 185
SPS: 183
global_step=9401, episodic_return=[1055.9043]
SPS: 181
global_step=9571, episodic_return=[322.0283]
SPS: 179
SPS: 177
SPS: 175
global_step=9843, episodic_return=[337.93048]
SPS: 174
global_step=9985, episodic_return=[285.24982]
SPS: 172
SPS: 170
global_step=10147, episodic_return=[297.9617]
SPS: 169
SPS: 167
global_step=10335, episodic_return=[327.3403]
SPS: 166
global_step=10423, episodic_return=[47.322327]
SPS: 164
SPS: 163
global_step=10676, episodic_return=[340.82037]
SPS: 162
SPS: 161
global_step=10850, episodic_return=[98.424805]
SPS: 160
SPS: 158
